model,mlflow,crossval_split,amypro22 rocauc,serrano158 rocauc,serrano 158 mcc,split
Mean reduction,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/a0764f4b90d2436587462ef0ea289490,4,0.6851,0.914,0.393,architecture
Mean reduction,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/5b25155b341044439707380b51eeb04a,5,0.6417,0.913,0.442,architecture
One-hot encoding,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/8c0bf835e23d4358aa4fcedcf8f04fbe,1,0.577,0.87,0.294,embedding
One-hot encoding,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/2b7fe7fabf764cd1bd9aa6c8ff9b6ed3,2,0.5863,0.843,0.406,embedding
One-hot encoding,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/9a9e005b04664c7891c883c26ff45d4e,3,0.5819,0.842,0.438,embedding
One-hot encoding,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/368ae5c9a9cd4cebb69ee18dd0a2bbf2,4,0.5881,0.854,0.382,embedding
One-hot encoding,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/9f425efe668b49839b2ce54a43a135d6,5,0.5918,0.844,0.305,embedding
"Mean reduction, no residue padding",https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/584487673f764dd1a0c26e8374e9745c,1,0.409,0.833,0.066,architecture
"Mean reduction, no residue padding",https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/8001b0afab234aefad9971a61d3f0f46,2,0.5052,0.851,0.459,architecture
"Mean reduction, no residue padding",https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/c79915b9e3b74d9cbe38a66fcdf4b8cb,3,0.47,0.846,0.471,architecture
"Mean reduction, no residue padding",https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/41abc47459fa4a35833024ac1fc45e66,4,0.4991,0.833,0.252,architecture
"Mean reduction, no residue padding",https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/c02560a71e6243c386e559418436345a,5,0.4947,0.851,0.406,architecture
Logistic Regression,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/600126f2a47f44139ce315545825b8f7,1,0.6497,0.905,0.474,architecture
Logistic Regression,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/8a327ed486854ca9a0079d55ad0f970a,2,0.6538,0.911,0.492,architecture
Logistic Regression,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/6fc75a8f13504bc599df9a3edc41aed3,3,0.643,0.904,0.445,architecture
